,id,screen_name,location,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
10543,96282006,Smilgevicius,Dourados/MS.,False,False,118,1202,0,122,14,Sat Dec 12 05:21:13 +0000 2009,False,False
10544,269270155,mar_lafsan,"Madrid, Comunidad de Madrid",False,False,104,1026,2,1087,444,Sun Mar 20 12:37:16 +0000 2011,False,False
10545,62347498,minipamy,madrid ,False,False,98,447,2,419,454,Sun Aug 02 20:52:01 +0000 2009,True,False
10546,17394013,csaura,"Sabadell, Barcelona, Spain",False,False,330,443,25,982,2105,Fri Nov 14 19:49:50 +0000 2008,False,False
10547,2765059216,stacythibault22,"Williamsport, PA",False,False,34,212,0,1,0,Mon Sep 08 20:40:32 +0000 2014,True,False
10548,812221,Exxes,,True,False,425,1595,21,38953,6403,Mon Mar 05 13:39:10 +0000 2007,False,False
10549,129640432,rubiznapoles,,True,False,110,712,0,10,67,Mon Apr 05 00:06:08 +0000 2010,False,False
10550,2796088741,lucho12310,puerto montt huelmo,False,False,6,79,0,0,1,Sun Sep 07 14:40:36 +0000 2014,True,False
10551,2782996058,nelsongoedert,"Miami, FL ",False,False,674,938,54,176,423,Sun Aug 31 22:04:35 +0000 2014,True,False
10552,31030901,CarolineHerrero,United States,False,False,355,2047,4,168,762,Tue Apr 14 02:17:09 +0000 2009,False,False
10553,40842346,sjimenezmateo,Errenteria - San Sebastián,False,False,499,555,44,10885,22232,Mon May 18 09:11:26 +0000 2009,False,False
10554,556070870,MalariaSpot,"Madrid, Spain",False,False,1181,1289,83,7938,2613,Tue Apr 17 15:52:07 +0000 2012,False,False
10555,22793760,cgarcia2,Madrid,False,False,126,197,10,1884,3585,Wed Mar 04 16:18:27 +0000 2009,False,False
10556,2611311198,keepintouchpost,Barcelona,False,False,126,865,4,128,226,Tue Jul 08 09:00:36 +0000 2014,False,False
10557,197350974,h2iinstitute,Madrid / España,False,False,4064,1750,233,1265,3435,Fri Oct 01 08:01:58 +0000 2010,False,False
10558,14443091,hugotorres,bogota colombia,False,False,344,603,20,7058,3029,Sat Apr 19 13:18:54 +0000 2008,False,False
10559,341695414,rmolinsg,Orio (Gipuzkoa),False,False,135,255,13,939,8660,Sun Jul 24 20:13:58 +0000 2011,False,False
10560,2521425694,KevinjJohns,,False,False,547,1191,81,450,1501,Thu May 01 15:52:06 +0000 2014,True,False
10561,369590525,albinoandres,"La Paz, Bolivia, Sudamérica",True,False,71,358,1,138,460,Wed Sep 07 16:25:48 +0000 2011,False,False
10562,2196325618,jeanmilan305,"Miami, FL",False,False,521,1673,18,4798,1249,Tue Nov 26 02:45:14 +0000 2013,True,False
10563,2722415607,305IAMHURT,"Miami, Hollywood, FL",False,False,407,1644,20,5436,3609,Thu Jul 24 01:48:27 +0000 2014,True,False
10564,48030236,michaelbcn,Barcelona,False,False,489,562,19,472,673,Wed Jun 17 17:02:09 +0000 2009,False,False
10565,120059569,Txoan,,False,False,148,224,5,106,1024,Fri Mar 05 10:31:03 +0000 2010,True,False
10566,276511062,asalvi0,[::1],True,False,63,866,0,30,3,Sun Apr 03 14:18:04 +0000 2011,False,False
10567,125074522,mikiminoru,Catcave (a.k.a. Box),False,False,285,942,13,1356,3922,Sun Mar 21 16:00:08 +0000 2010,False,False
10568,95606316,mcanaleta,Barcelona,False,False,1482,167,19,225,214,Wed Dec 09 08:48:25 +0000 2009,True,False
10569,111272415,xaviersbanegas,"Miami, FL",False,False,240,969,9,1922,1418,Thu Feb 04 10:34:47 +0000 2010,False,False
10570,236528491,gerard_sgs,"Barcelona, Spain",False,False,471,1335,47,4129,1247,Mon Jan 10 20:05:52 +0000 2011,False,False
10571,165726561,emacip,Madrid - Dublin,False,False,388,928,45,476,3735,Mon Jul 12 11:17:46 +0000 2010,False,False
10572,486746929,peninsulacorp,"Barcelona, Spain",False,False,4037,2576,323,7965,4872,Wed Feb 08 16:31:53 +0000 2012,False,False
10573,54913368,miniguidebcn,Barcelona,False,False,9079,991,333,308,5544,Wed Jul 08 14:37:23 +0000 2009,False,False
10574,211213832,coetic,"Barcelona, Catalunya",False,False,1135,164,63,248,4832,Tue Nov 02 16:58:36 +0000 2010,False,False
10575,29224386,corylanou,"Cadott, WI",False,False,2251,1377,118,1714,4139,Mon Apr 06 15:39:02 +0000 2009,False,False
10576,2418133304,SiliconBeachHub,From Miami to Silicon Valley,False,False,1273,1417,338,5244,31219,Sat Mar 29 23:38:52 +0000 2014,False,False
10577,319058008,SPIRALBITSGAMES,SPAIN,False,False,1264,1713,21,6,1710,Fri Jun 17 14:02:37 +0000 2011,False,False
10578,818714,JOS_,Lima Perú / Mundo de Colores,False,False,231,274,17,21,4819,Wed Mar 07 16:53:22 +0000 2007,False,False
10579,19530658,piratecto,Barcelona,False,False,682,672,91,413,3238,Mon Jan 26 12:04:10 +0000 2009,False,False
10580,720783708,BELAZKEZ,Madrid,False,False,778,1061,7,97,358,Fri Jul 27 20:05:23 +0000 2012,False,False
10581,987563588,AliAzamalis,,False,False,68,134,1,27,69,Mon Dec 03 22:35:52 +0000 2012,True,False
10582,136489444,JesusCR88,"Puebla, Puebla, Mexico.",False,False,697,3079,2,3201,4052,Sat Apr 24 02:53:14 +0000 2010,False,False
10583,348288095,robertomartin04,Santo Domingo,False,False,286,828,1,116,1287,Thu Aug 04 05:25:20 +0000 2011,False,False
10584,297232280,jhonedwar1,,True,False,70,559,1,1371,15,Thu May 12 05:02:49 +0000 2011,True,False
10585,31280518,hellenlarach,,False,False,60,51,0,7,39,Wed Apr 15 00:30:32 +0000 2009,False,False
10586,69115965,tobon007,Everywhere,True,False,107,838,0,921,1772,Wed Aug 26 22:26:54 +0000 2009,False,False
10587,8347002,bedomax,"Santiago,Chile/ Quito,Ecuador",False,False,1071,1032,44,1503,3627,Wed Aug 22 03:44:28 +0000 2007,False,False
10588,2607180308,gasanpau,Barcelona,False,False,24,101,4,5,28,Sun Jul 06 09:35:37 +0000 2014,True,False
10589,286906195,joseayala3,El Salvador,False,False,175,1186,4,200,2661,Sat Apr 23 23:13:55 +0000 2011,False,False
10590,2437686961,Ideatics_sw,,False,False,52,190,1,0,32,Fri Apr 11 00:09:57 +0000 2014,False,False
10591,2482750183,TbKidsSantCugat,"Sant Cugat del Valles, ES",False,False,444,423,29,342,1182,Wed May 07 20:50:17 +0000 2014,True,False
10592,193472274,nico_gonzalezn,Bogotá,False,False,100,286,1,43,76,Tue Sep 21 22:21:28 +0000 2010,True,False
10593,260640266,MsEstherminator,Barcelona,False,False,145,748,1,893,131,Fri Mar 04 08:27:54 +0000 2011,False,False
10594,17768397,mcanto,"Mérida, Yucatán",False,False,247,1054,8,1206,2220,Mon Dec 01 01:50:52 +0000 2008,False,False
10595,50608411,Tirulix,,False,False,100,338,1,117,766,Thu Jun 25 10:21:30 +0000 2009,True,False
10596,180844074,jonas_tg,Valencia,False,False,339,675,58,1563,2422,Fri Aug 20 16:50:25 +0000 2010,False,False
10597,165814904,oscarelotero,Cali Valle,False,False,60,282,3,81,282,Mon Jul 12 16:22:01 +0000 2010,False,False
10598,285470075,ZendljRp,,False,False,643,1964,7,245,2268,Thu Apr 21 06:21:41 +0000 2011,False,False
10599,158245259,darwinmorab,"Quito, Ecuador",False,False,231,686,12,111,1427,Tue Jun 22 04:40:18 +0000 2010,False,False
10600,217495210,kamusdave,"Santiago, Chile",False,False,216,574,1,103,429,Fri Nov 19 17:47:08 +0000 2010,False,False
10601,273804923,rulocontreras_,"San Jose, CA",False,False,595,1727,15,8920,2701,Tue Mar 29 05:55:50 +0000 2011,False,False
10602,78498898,balam_0,"Chihuahua, México",False,False,593,1228,18,4662,5963,Wed Sep 30 03:12:56 +0000 2009,False,False
10603,43131591,laingedice,"Bogotá, Colombia",False,False,428,718,10,1027,7850,Thu May 28 15:34:24 +0000 2009,False,False
10604,53213382,angelitodiaz,San Cristobal,False,False,1440,3406,372,3459,10841,Thu Jul 02 22:44:35 +0000 2009,False,False
10605,355565578,max_ec,Ecuador,True,False,268,1015,4,6787,20892,Mon Aug 15 15:15:08 +0000 2011,True,False
10606,87357841,J_oXI,honduras,False,False,14,87,0,51,44,Wed Nov 04 03:51:42 +0000 2009,True,False
10607,87345793,SamuelDipiazza,"San Justo, Argentina",False,False,413,1554,74,6814,8535,Wed Nov 04 02:37:54 +0000 2009,False,False
10608,1634444306,frankdelperu,Lima - Perú,False,False,30,112,0,1,15,Wed Jul 31 03:10:03 +0000 2013,False,False
10609,221032680,martinmign,"Community of Madrid, Spain",False,False,309,619,8,1031,4841,Mon Nov 29 15:11:39 +0000 2010,False,False
10610,217335385,the_segoviano,"Puebla, México",False,False,1101,553,3,3584,3087,Fri Nov 19 06:54:23 +0000 2010,False,False
10611,2521820646,Eduardo76609,"Medellín, Colombia",False,False,191,902,6,19761,648,Sun May 25 03:01:17 +0000 2014,False,False
10612,20281705,luiscam,"Bogotá, Colombia",False,False,857,751,45,101,2383,Fri Feb 06 23:21:39 +0000 2009,False,False
10613,244710019,PTimeLady,,False,False,177,616,1,5668,4335,Sat Jan 29 23:32:36 +0000 2011,False,False
10614,219799447,DavidGarea,,False,False,55,172,7,44,318,Thu Nov 25 22:36:42 +0000 2010,False,False
10615,634964921,vhproficial,"Cuauhtémoc, Distrito Federal",False,False,453,1084,6,20,4278,Sat Jul 14 00:06:10 +0000 2012,True,False
10616,102486954,paolopz9,,True,False,48,314,1,103,265,Wed Jan 06 21:37:07 +0000 2010,False,False
10617,154688129,icervantescerda,"Stgo, Chile",False,False,242,764,0,29,542,Fri Jun 11 23:16:41 +0000 2010,False,False
10618,153450719,fenixbinario,"Barcelona, Spain",False,False,291,378,37,2567,2850,Tue Jun 08 15:58:00 +0000 2010,False,False
10619,108610277,josliver,Caracas,False,False,161,265,7,82,1937,Tue Jan 26 13:53:33 +0000 2010,False,False
10620,18695322,ManuelRdgz,South Florida,False,False,778,1828,48,10371,2463,Tue Jan 06 21:05:09 +0000 2009,False,False
10621,2425450784,alephsur,,False,False,22,149,0,52,154,Thu Apr 03 11:02:49 +0000 2014,True,True
10622,26672104,pconcepcion,,False,False,678,2562,63,3045,3067,Thu Mar 26 02:54:13 +0000 2009,False,False
10623,1201937443,MakespaceMadrid,"Madrid, España",False,False,4826,744,252,936,2458,Wed Feb 20 19:20:23 +0000 2013,False,False
10624,180193631,juan1morales,COLOMBIA,False,False,232,1136,2,579,647,Thu Aug 19 01:33:28 +0000 2010,True,False
10625,122818075,Milusk_2013,peru,False,False,71,868,1,246,875,Sun Mar 14 01:21:01 +0000 2010,False,False
10626,99688687,didacsd,Catalonia,False,False,354,630,29,875,3749,Sun Dec 27 11:01:54 +0000 2009,False,False
10627,106447818,CsRo1,"Mty, México",False,False,294,1330,9,51,2057,Tue Jan 19 15:58:25 +0000 2010,False,False
10628,1657591,jordimirobruix,"Barcelona, Madrid",False,False,2953,1869,283,1866,82412,Tue Mar 20 18:38:55 +0000 2007,False,False
10629,534514577,herediaestudio,"Argentina, Rosario",False,False,42,156,1,0,8,Fri Mar 23 17:08:26 +0000 2012,True,False
10630,56008665,BonnyLarregui,Puerto Rico,False,False,41,201,0,60,708,Sun Jul 12 03:38:31 +0000 2009,False,False
10631,16816120,chisko,"Santiago, Nuevo Leon, Mexico",False,False,232,1001,2,2326,156,Thu Oct 16 23:20:06 +0000 2008,True,False
10632,225082994,danilobrinu,"Lima, Perú",False,False,139,193,8,5425,2583,Fri Dec 10 16:50:05 +0000 2010,False,False
10633,2748604736,sailorjsbot,In your code,False,False,27,96,0,0,19,Wed Aug 20 09:46:35 +0000 2014,False,False
10634,404487162,jonathaneduar60,,True,False,80,282,0,128,605,Fri Nov 04 00:24:49 +0000 2011,False,False
10635,1223185105,LemusRita,,False,False,70,94,1,1284,80,Tue Feb 26 23:21:17 +0000 2013,True,False
10636,2740323986,madeinmia305,,False,False,17,91,1,3,13,Sun Aug 17 19:17:23 +0000 2014,True,False
10637,714755190,DavidFMonroy,Bogotá,False,False,387,693,16,124,2345,Tue Jul 24 18:53:34 +0000 2012,False,False
10638,18792607,lucifer8k,"Quito, Ecuador",False,False,1825,2563,110,314,22347,Fri Jan 09 04:48:42 +0000 2009,False,False
10639,1688834935,OmarOchoa0212,,False,False,5,22,0,0,7,Wed Aug 21 17:19:48 +0000 2013,True,False
10640,52216418,ramgavi,Quito,False,False,507,1074,3,209,3257,Mon Jun 29 22:43:00 +0000 2009,False,False
10641,527973091,GuaxyLife,,False,False,59,366,3,18,352,Sun Mar 18 00:22:22 +0000 2012,True,False
10642,2447158164,TrepTransit,,False,False,44,103,1,57,55,Wed Apr 16 12:49:10 +0000 2014,False,False
10643,330085958,Fersolis7,Puebla,False,False,55,141,0,33,242,Wed Jul 06 02:34:16 +0000 2011,True,False
10644,90670830,jimalola,,False,False,570,1705,6,21,7852,Tue Nov 17 17:04:47 +0000 2009,True,False
10645,464017872,carlosagile,Sabadell,False,False,331,837,73,306,1901,Sat Jan 14 19:00:22 +0000 2012,False,False
10646,2338948579,switchorg,"Seattle, WA",False,False,4906,3226,116,1555,4718,Tue Feb 11 20:05:39 +0000 2014,False,False
10647,2741396523,DigitboxVE,Venezuela,False,False,5,23,0,1,29,Wed Aug 13 03:14:28 +0000 2014,False,False
10648,89729104,Samanthabch_07,"Lima, Peru",False,False,168,557,1,677,2598,Fri Nov 13 15:59:27 +0000 2009,False,False
10649,311141844,manezgz,,False,False,22,114,1,14,91,Sat Jun 04 23:43:33 +0000 2011,True,True
10650,460528559,Inge_Acosta,,False,False,83,300,0,27,183,Tue Jan 10 21:19:19 +0000 2012,False,False
10651,248293012,KaozGaia,En el DFectuoso,False,False,103,438,1,305,342,Sun Feb 06 17:54:49 +0000 2011,False,False
10652,52087581,ingdsambo,,True,False,144,192,1,18,458,Mon Jun 29 15:27:27 +0000 2009,False,False
10653,145708190,albertomoraga,Madrid - Zamora,False,False,101,144,5,148,156,Wed May 19 17:31:57 +0000 2010,True,False
10654,15686753,KasAppeal,"Madrid, Spain",False,False,570,312,32,114,1401,Fri Aug 01 07:35:54 +0000 2008,False,False
10655,138415547,isaacvqz,Benito Juárez,False,False,182,763,0,40,91,Thu Apr 29 13:46:47 +0000 2010,False,False
10656,2688661349,FiNerewards,Miami,False,False,178,592,4,85,129,Tue Jul 08 22:05:54 +0000 2014,True,False
10657,36966744,lonngibass,Mexico,False,False,878,2193,10,52,1487,Fri May 01 15:31:15 +0000 2009,False,False
10658,1568501462,SEBIOS_CORDOBA,Colombia ,False,False,111,333,9,31,726,Thu Jul 04 15:59:53 +0000 2013,False,False
10659,507728557,DPdigitalpro,Cali - Colombia,False,False,150,378,2,107,789,Tue Feb 28 18:23:09 +0000 2012,False,False
10660,31105812,DeXon18,Vitoria,False,False,266,1017,8,262,841,Tue Apr 14 12:01:39 +0000 2009,False,False
10661,2474725595,CortanaLive,Everywhere ,False,False,3355,2920,70,4003,3959,Thu Apr 10 20:33:48 +0000 2014,False,False
10662,290074315,lorenitagu86,"Miami, FL",False,False,35,219,0,9,33,Fri Apr 29 17:59:39 +0000 2011,False,False
10663,299853213,Cramtirolf,Sydney [ Unutopia ] Oz,False,False,1054,932,101,4075,9790,Mon May 16 19:49:26 +0000 2011,False,False
10664,46323230,Trunimrod,Bogotá - Colombia,False,False,4873,2573,152,2002,8041,Thu Jun 11 05:29:34 +0000 2009,False,False
10665,377440883,eth0lo,,False,False,176,257,9,14,207,Wed Sep 21 15:46:07 +0000 2011,False,False
10666,113647045,blerones,Madrid,False,False,908,2488,42,2872,13492,Fri Feb 12 14:41:24 +0000 2010,False,False
10667,378488821,teatroaccesible,Spain,False,False,6749,3964,214,4865,13877,Fri Sep 23 08:59:40 +0000 2011,False,False
10668,482318908,NARANJOLALINEA,La Línea de la Concepción,False,False,184,161,0,62,223,Fri Feb 03 19:32:58 +0000 2012,True,False
10669,377713612,MIUWeb,"Miami, FL",False,False,119,208,3,26,381,Thu Sep 22 00:34:10 +0000 2011,False,False
10670,13515002,jpcw,In your skin!,True,False,67,224,5,55,595,Fri Feb 15 13:46:06 +0000 2008,False,False
10671,6721022,mazur,Madrid,False,False,158,494,11,1517,3667,Sun Jun 10 19:58:30 +0000 2007,False,False
10672,2694501721,PortilloEman,,False,False,24,142,0,1215,3,Thu Jul 31 02:18:10 +0000 2014,True,False
10673,122693416,l1n3_X,Mexico,False,False,141,532,3,21,1127,Sat Mar 13 15:23:31 +0000 2010,False,False
10674,454178733,ypezv35,Chinú,True,False,17,108,0,59,7,Tue Jan 03 18:19:21 +0000 2012,False,False
10675,12408202,abarrera,Madrid,False,False,9831,4080,700,5585,38241,Fri Jan 18 17:42:50 +0000 2008,False,False
10676,428411076,grydl,"Tenerife, Islas Canarias",False,False,151,335,16,377,1027,Sun Dec 04 18:42:41 +0000 2011,True,False
10677,2367751,jorgearboleya,Madrid (Spain),False,False,1521,2123,215,8353,10533,Mon Mar 26 22:29:22 +0000 2007,False,False
10678,361290447,fgomezal,Pasión por #Torrelodones,False,False,1331,2850,55,5185,16748,Wed Aug 24 15:16:38 +0000 2011,False,False
10679,45526040,tellezluis,"Community of Madrid, Spain",True,False,583,664,8,137,2440,Mon Jun 08 08:27:12 +0000 2009,False,False
10680,532498769,jesuslcorominas,,False,False,106,103,0,5,724,Wed Mar 21 19:37:55 +0000 2012,True,False
10681,529417922,Quotanda,,False,False,1256,4482,51,1344,1231,Mon Mar 19 14:21:13 +0000 2012,True,False
10682,2468036444,ideas_cp,Ontinyent (Valencia - Spain),False,False,37,319,4,110,32,Mon Apr 28 17:10:41 +0000 2014,False,False
